english_term,translation,keep_in_english,context,notes,source,last_updated
2FA,,yes,,,style-guide,2026-08-17
Adrenaline,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Agent Catalyst,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI Dictionary,,yes,,"AI to remain in EN, okay to translate ""dictionary""",branded-terms,2026-08-17
AI Playground,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI Service Layer,,yes,,Keep in EN,branded-terms,2026-08-17
Alert Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Alerts Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Analyzer,,yes,,,style-guide,2026-08-17
API,,yes,,,style-guide,2026-08-17
AppDB,,yes,,,style-guide,2026-08-17
Appstore,,yes,,,style-guide,2026-08-17
Asset Library,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AWS,,yes,,,style-guide,2026-08-17
Azure,,yes,,,style-guide,2026-08-17
Beast Mode,,yes,,,style-guide,2026-08-17
BigQuery,,yes,,,style-guide,2026-08-17
Brand Kit,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Buzz,,yes,,,style-guide,2026-08-17
Card Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
CLI,,yes,,,style-guide,2026-08-17
Cloud Amplifier,,yes,,,style-guide,2026-08-17
CSV,,yes,,,style-guide,2026-08-17
Data Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Fusion,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Product Exchange (DPX),,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Warehouse,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Databricks,,yes,,,style-guide,2026-08-17
DataFlow,,yes,,,style-guide,2026-08-17
DataFlows,,yes,,,style-guide,2026-08-17
DataFusion,,yes,,,style-guide,2026-08-17
DataSet,,yes,,Singular/plural identical in EN,style-guide,2026-08-17
DataSets,,yes,,,style-guide,2026-08-17
DDX Bricks,,yes,,,style-guide,2026-08-17
Doc Card,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Dojo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Domo,,yes,,,style-guide,2026-08-17
Domo AI,,yes,,,style-guide,2026-08-17
Domo Bricks,,yes,,,style-guide,2026-08-17
Domo Documents,,yes,,,style-guide,2026-08-17
Domo Schema,,yes,,,style-guide,2026-08-17
Domo University,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Domo Workflows,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoApp,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoGraphics,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoStats,,yes,,,style-guide,2026-08-17
Embed,,yes,,,style-guide,2026-08-17
ETL,,yes,,,style-guide,2026-08-17
FileSet,,yes,,Branded term — keep in English,branded-terms,2026-08-17
FileSets,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Flex Table,,yes,,,style-guide,2026-08-17
GitHub,,yes,,,style-guide,2026-08-17
Google,,yes,,,style-guide,2026-08-17
HTTP,,yes,,,style-guide,2026-08-17
HTTPS,,yes,,,style-guide,2026-08-17
JSON,,yes,,,style-guide,2026-08-17
Jupyter Notebook,,yes,,,style-guide,2026-08-17
Jupyter Workspace,,yes,,,style-guide,2026-08-17
Jupyter Workspaces,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Launcher,,yes,,Branded term — keep in English,branded-terms,2026-08-17
M2M,,yes,,Machine to Machine,style-guide,2026-08-17
Magic,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Magic ETL,,yes,,Kept in English (see Spanish glossary for the ES expansion),style-guide,2026-08-17
Major Domo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
MDX,,yes,,,style-guide,2026-08-17
MFA,,yes,,,style-guide,2026-08-17
Microsoft,,yes,,,style-guide,2026-08-17
MySQL,,yes,,,style-guide,2026-08-17
OAuth,,yes,,,style-guide,2026-08-17
PDP,,yes,,Personalized Data Permissions,style-guide,2026-08-17
Personalized Data Permissions (PDP),,yes,,Branded term — keep in English,branded-terms,2026-08-17
Playbooks,,yes,,Branded term — keep in English,branded-terms,2026-08-17
PostgreSQL,,yes,,,style-guide,2026-08-17
QuickStart,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Report Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
REST,,yes,,,style-guide,2026-08-17
Salesforce,,yes,,,style-guide,2026-08-17
SAML,,yes,,,style-guide,2026-08-17
SDK,,yes,,,style-guide,2026-08-17
Slack,,yes,,,style-guide,2026-08-17
Snowflake,,yes,,,style-guide,2026-08-17
SQL,,yes,,,style-guide,2026-08-17
SSO,,yes,,,style-guide,2026-08-17
Sumo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Task Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Vault,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Workbench,,yes,,,style-guide,2026-08-17
XML,,yes,,,style-guide,2026-08-17
YAML,,yes,,,style-guide,2026-08-17
Account,Konto,no,,,style-guide,2026-08-17
Achievement,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Admin,Administrator,no,,,style-guide,2026-08-17
AI,KI,no,,'KI' as acronym; 'Künstliche Intelligenz' spelled out; 'KI-Chat' = AI Chat,style-guide,2026-08-17
AI Chat,,no,,"AI to remain in EN, okay to translate ""chat"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
AI Context,,no,,"AI to remain in EN, okay to translate ""context"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
AI Readiness,,no,,"AI to remain in EN, okay to translate ""readiness"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
Alert,Mitteilung,no,,'Benachrichtigung' also acceptable,style-guide,2026-08-17
Alerts,Mitteilungen,no,,,style-guide,2026-08-17
App,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
App Studio,App Studio,no,,Kept in English in German,style-guide,2026-08-17
Artificial Intelligence,Künstliche Intelligenz,no,,,style-guide,2026-08-17
Battlecard,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Card,Karte,no,,,style-guide,2026-08-17
Chart,Diagramm,no,,,style-guide,2026-08-17
Cloud Integration,Cloud-Integration,no,,Hyphenated compound,style-guide,2026-08-17
Code Engine,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Collection,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Community,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Connector,Konnektor,no,,German technical term,style-guide,2026-08-17
Connectors,Konnektoren,no,,,style-guide,2026-08-17
Daily Domo,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Dashboard,Dashboard,no,,Kept in English (widely understood in German tech),style-guide,2026-08-17
Data Source,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Database table,Tabelle,no,database,Same word; context clarifies,style-guide,2026-08-17
Domo Marketplace,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Domo Online Form,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Drag-and-drop,Drag-and-Drop,no,,"Kept, capitalized as noun",style-guide,2026-08-17
Drill,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Editor,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Enhancement,Verbesserung,no,,,style-guide,2026-08-17
Feature,Funktion,no,,,style-guide,2026-08-17
Feedback,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Filter,Filter,no,,Kept in English,style-guide,2026-08-17
Free,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Freemium,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Global Filters,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Grant,Zugriffsrecht,no,,Context-dependent: 'Zugriffsrecht' or 'Berechtigung',style-guide,2026-08-17
Group,Gruppe,no,,,style-guide,2026-08-17
Help Center,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Important,Wichtig,no,callout-label,<Important> callout label,style-guide,2026-08-17
Inline Editing,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Instance,Instanz,no,,,style-guide,2026-08-17
Metrics,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Metrics SQL,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
New Features and Enhancements,Neue Funktionen und Verbesserungen,no,section-header,,style-guide,2026-08-17
Note,Hinweis,no,callout-label,<Note> callout label,style-guide,2026-08-17
Page,Seite,no,,,style-guide,2026-08-17
