english_term,translation,keep_in_english,context,notes,source,last_updated
2FA,,yes,,,style-guide,2026-08-17
Adrenaline,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Agent Catalyst,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI Dictionary,,yes,,"AI to remain in EN, okay to translate ""dictionary""",branded-terms,2026-08-17
AI Playground,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI Service Layer,,yes,,Keep in EN,branded-terms,2026-08-17
Alert Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Alerts Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Analyzer,,yes,,,style-guide,2026-08-17
API,,yes,,,style-guide,2026-08-17
AppDB,,yes,,,style-guide,2026-08-17
Appstore,,yes,,,style-guide,2026-08-17
Asset Library,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AWS,,yes,,,style-guide,2026-08-17
Azure,,yes,,,style-guide,2026-08-17
Beast Mode,,yes,,,style-guide,2026-08-17
BigQuery,,yes,,,style-guide,2026-08-17
Brand Kit,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Buzz,,yes,,,style-guide,2026-08-17
Card Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
CLI,,yes,,,style-guide,2026-08-17
Cloud Amplifier,,yes,,,style-guide,2026-08-17
CSV,,yes,,,style-guide,2026-08-17
Data Fusion,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Product Exchange (DPX),,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Warehouse,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Databricks,,yes,,,style-guide,2026-08-17
DataFlow,,yes,,,style-guide,2026-08-17
DataFlows,,yes,,,style-guide,2026-08-17
DataFusion,,yes,,,style-guide,2026-08-17
DataSet,,yes,,Singular/plural identical in EN,style-guide,2026-08-17
DataSets,,yes,,,style-guide,2026-08-17
DDX Bricks,,yes,,,style-guide,2026-08-17
Doc Card,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Dojo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Domo,,yes,,,style-guide,2026-08-17
Domo AI,,yes,,,style-guide,2026-08-17
Domo Bricks,,yes,,,style-guide,2026-08-17
Domo Documents,,yes,,,style-guide,2026-08-17
Domo Schema,,yes,,,style-guide,2026-08-17
Domo University,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Domo Workflows,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoApp,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoGraphics,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoStats,,yes,,,style-guide,2026-08-17
Embed,,yes,,,style-guide,2026-08-17
ETL,,yes,,,style-guide,2026-08-17
FileSet,,yes,,Branded term — keep in English,branded-terms,2026-08-17
FileSets,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Flex Table,,yes,,,style-guide,2026-08-17
GitHub,,yes,,,style-guide,2026-08-17
Google,,yes,,,style-guide,2026-08-17
HTTP,,yes,,,style-guide,2026-08-17
HTTPS,,yes,,,style-guide,2026-08-17
JSON,,yes,,,style-guide,2026-08-17
Jupyter Notebook,,yes,,,style-guide,2026-08-17
Jupyter Workspace,,yes,,,style-guide,2026-08-17
Jupyter Workspaces,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Launcher,,yes,,Branded term — keep in English,branded-terms,2026-08-17
M2M,,yes,,Machine to Machine,style-guide,2026-08-17
Magic,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Magic ETL,,yes,,Kept in English (see Spanish glossary for the ES expansion),style-guide,2026-08-17
Major Domo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
MDX,,yes,,,style-guide,2026-08-17
MFA,,yes,,,style-guide,2026-08-17
Microsoft,,yes,,,style-guide,2026-08-17
MySQL,,yes,,,style-guide,2026-08-17
OAuth,,yes,,,style-guide,2026-08-17
PDP,,yes,,Personalized Data Permissions,style-guide,2026-08-17
Personalized Data Permissions (PDP),,yes,,Branded term — keep in English,branded-terms,2026-08-17
Playbooks,,yes,,Branded term — keep in English,branded-terms,2026-08-17
PostgreSQL,,yes,,,style-guide,2026-08-17
QuickStart,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Report Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
REST,,yes,,,style-guide,2026-08-17
Salesforce,,yes,,,style-guide,2026-08-17
SAML,,yes,,,style-guide,2026-08-17
SDK,,yes,,,style-guide,2026-08-17
Slack,,yes,,,style-guide,2026-08-17
Snowflake,,yes,,,style-guide,2026-08-17
SQL,,yes,,,style-guide,2026-08-17
SSO,,yes,,,style-guide,2026-08-17
Sumo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Task Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Vault,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Workbench,,yes,,,style-guide,2026-08-17
XML,,yes,,,style-guide,2026-08-17
YAML,,yes,,,style-guide,2026-08-17
Account,アカウント,no,,Katakana,style-guide,2026-08-17
Achievement,アワード,no,,Mined from XTM TM: 5/5 approved (100% agreement),mined-tm,2026-08-17
Admin,管理者,no,,Kanji,style-guide,2026-08-17
Admin Settings,管理者設定,no,,Kanji compound,style-guide,2026-08-17
Administrator,管理者,no,,Kanji,style-guide,2026-08-17
AI,AI,no,,'AI' kept in EN as acronym; '人工知能' when spelled out,style-guide,2026-08-17
AI Chat,AIチャット,no,,Mixed; AI kept in English,style-guide,2026-08-17
AI Context,,no,,"AI to remain in EN, okay to translate ""context"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
AI Readiness,AIの準備状況,no,,Mined from XTM TM: 4/5 approved (80% agreement),mined-tm,2026-08-17
Alert,アラート,no,,Katakana,style-guide,2026-08-17
Alerts,アラート,no,,Katakana,style-guide,2026-08-17
App,App,no,,Mined from XTM TM: 30/38 approved (79% agreement),mined-tm,2026-08-17
App Studio,App Studio,no,,Kept in English,style-guide,2026-08-17
Artificial Intelligence,人工知能,no,,,style-guide,2026-08-17
BattleCard,バトルカード,no,,Mined from XTM TM: 7/7 approved (100% agreement),mined-tm,2026-08-17
Beta Features,ベータ機能,no,section-header,,style-guide,2026-08-17
Card,カード,no,,Katakana,style-guide,2026-08-17
Chart,グラフ,no,,Kanji (style guide); TM often uses チャート — style guide wins,style-guide,2026-08-17
Cloud Integration,クラウド統合,no,,Katakana + kanji compound,style-guide,2026-08-17
Code Engine,コードエンジン,no,,Mined from XTM TM: 11/11 approved (100% agreement),mined-tm,2026-08-17
Collection,コレクション,no,,Mined from XTM TM: 8/9 approved (89% agreement),mined-tm,2026-08-17
Community,コミュニティ,no,,Mined from XTM TM: 16/21 approved (76% agreement),mined-tm,2026-08-17
Connector,コネクター,no,,Katakana; singular and plural identical,style-guide,2026-08-17
Connectors,コネクター,no,,Katakana; singular and plural identical,style-guide,2026-08-17
Daily Domo,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Dashboard,ダッシュボード,no,,Katakana,style-guide,2026-08-17
Data Center,Data Center,no,,Kept in English when referring to the Domo UI element,style-guide,2026-08-17
Data Source,データソース,no,,Mined from XTM TM: 31/31 approved (100% agreement),mined-tm,2026-08-17
Dataset tile,DataSetアイコン,no,Magic ETL,DataSet kept in English; アイコン (icon) in ETL context,style-guide,2026-08-17
Domo Marketplace,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Domo Online Form,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Drill,ドリル,no,,Mined from XTM TM: 5/5 approved (100% agreement),mined-tm,2026-08-17
Editor,編集ユーザー,no,,Mined from XTM TM: 14/14 approved (100% agreement),mined-tm,2026-08-17
Enhancement,機能拡張,no,,Kanji; preferred in feature/product context,style-guide,2026-08-17
FAQ,よくある質問,no,section-header,,style-guide,2026-08-17
Feature,機能,no,,Kanji,style-guide,2026-08-17
Feedback,フィードバック,no,,Mined from XTM TM: 8/11 approved (73% agreement),mined-tm,2026-08-17
Filter,フィルター,no,,Katakana,style-guide,2026-08-17
Free,無料,no,,Mined from XTM TM: 18/24 approved (75% agreement),mined-tm,2026-08-17
Freemium,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Global Filters,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Grant,権限,no,,権限 = authority/access broadly,style-guide,2026-08-17
Group,グループ,no,,Katakana,style-guide,2026-08-17
Help Center,ヘルプセンター,no,,Mined from XTM TM: 41/41 approved (100% agreement),mined-tm,2026-08-17
Important,重要,no,callout-label,<Important> callout label,style-guide,2026-08-17
Inline Editing,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Instance,インスタンス,no,,Katakana,style-guide,2026-08-17
Intro,はじめに,no,section-header,,style-guide,2026-08-17
Metrics,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Metrics SQL,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
New Features and Enhancements,新機能と機能拡張,no,section-header,,style-guide,2026-08-17
Note,注,no,callout-label,<Note> callout label,style-guide,2026-08-17
