"ARTICLEARCHIVEDDATE","ARTICLEMASTERLANGUAGE","ARTICLENUMBER","ARTICLETOTALVIEWCOUNT","ARTICLE_BODY__C","CREATEDBYID","CREATEDDATE","FIRSTPUBLISHEDDATE","ID","ISDELETED","ISLATESTVERSION","ISOUTOFDATE","KNOWLEDGEARTICLEID","LANGUAGE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTPUBLISHEDDATE","MASTERVERSIONID","MIGRATEDTOFROMARTICLEVERSION","OWNERID","PUBLISHSTATUS","SOURCEID","SUMMARY","SYSTEMMODSTAMP","TITLE","TRANSLATIONCOMPLETEDDATE","TRANSLATIONEXPORTEDDATE","TRANSLATIONIMPORTEDDATE","URLNAME","VERSIONNUMBER"
"","en_US","000004019","20528","<h2>Intro</h2>
<p>Smartsheet is an online project management, productivity, and team collaboration SaaS application. Use this connector to export your data from a Domo DataSet to a specified Smartsheet workspace or folder. To learn more about the Smartsheet API, visit their website ( <a title=""https://smartsheet-platform.github.io/api-docs/"" href=""https://smartsheet-platform.github.io/api-docs/"" target=""_blank"">https://smartsheet-platform.github.io/api-docs/</a> ).</p>
<p>You export data to Smartsheet in the Data Center. This topic discusses the fields and menus that are specific to the Smartsheet Writeback connector user interface. General information for adding DataSets, setting update schedules, and editing DataSet information is discussed in <a title=""Adding a DataSet Using a Data Connector"" href=""/s/article/360042926274"" target=""_self"">Adding a DataSet Using a Data Connector</a>.</p>
<div class=""info-box note"">
<div class=""info-box-wrapper"">
<div class=""info-box-icon-container""> </div>
<div class=""info-box-content-container"">
<div class=""info-box-content""><strong>Note:</strong> The owner of a writeback dataset must also be an owner or co-owner of the input dataset.</div>
</div>
</div>
</div>
<h2>Prerequisites</h2>
<p>To configure this connector, you will need a Domo Client ID and Client Secret. </p>
<p>To generate a Domo client ID and client secret, do the following:</p>
<ol><li>
<p>Navigate to <a title=""https://developer.domo.com"" href=""https://developer.domo.com"" target=""_blank"">https://developer.domo.com</a> and log in.</p>
</li><li>
<p>Click <strong>New Client</strong> (found under &quot;My Account&quot; in the top right corner).</p>
</li><li>
<p> Create a new client with Application Scopes of <strong>Data</strong> and <strong>User</strong>.<br>When you click <strong>Create</strong>, you will be redirected to the client ID and client secret.</p>
</li><li>
<p>Copy the client ID and client secret, as you will need them soon.</p>
</li></ol>
<h2>Configuring the Connection</h2>
<p><span class=""s1"">This section enumerates the options in the <strong>Credentials</strong> and <strong>Details</strong> panes in the Smartsheet Writeback Connector page. The components of the other panes in this page, <strong>Scheduling</strong> and <strong>Name &amp; Describe Your DataSet</strong>, are universal across most connector types and are discussed in greater length in <a title=""Adding a DataSet Using a Data Connector"" href=""/s/article/360042926274"" target=""_blank"">Adding a DataSet Using a Data Connector</a>.</span></p>
<h3><span class=""s1"">Credentials Pane</span></h3>
<p class=""p1""><span class=""s1"">This pane contains fields for entering credentials to connect to your Domo developer account. The following table describes what is needed for each field:  </span></p>
<table style=""width: 100%;table-layout: fixed;"" border=""1"" cellspacing=""1"" cellpadding=""1""><thead><tr><th colspan=""1"" rowspan=""1"">
<p><span class=""s1"">Field</span></p>
</th><th colspan=""1"" rowspan=""1"">
<p><span class=""s1"">Description</span></p>
</th></tr></thead><tbody><tr><td colspan=""1"" rowspan=""1"">
<p>Domo Client ID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Enter your Domo client ID. For steps on obtaining your client ID and client secret, see &quot;Prerequisites,&quot; above.</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Domo Client Secret</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Enter your Domo client ID. For steps on obtaining your client ID and client secret, see &quot;Prerequisites,&quot; above.</p>
</td></tr></tbody></table>
<p><span class=""s1"">Once you have entered valid credentials, you can use the same account any time you go to set up a new Domo-Smartsheet connection. You can manage connector accounts in the <strong>Accounts </strong>tab in the Data Center. For more information about this tab, see <a title=""Managing User Accounts for Connectors"" href=""/s/article/360042926054"" target=""_blank"">Managing User Accounts for Connectors</a>.</span></p>
<h3>Details Pane</h3>
<p>This pane contains a number of fields for specifying your data and indicating where it&#39;s going.</p>
<table style=""width: 100%;table-layout: fixed;"" border=""1"" cellspacing=""1"" cellpadding=""1""><thead><tr><th colspan=""1"" rowspan=""1"">
<p>Menu</p>
</th><th colspan=""1"" rowspan=""1"">
<p>Description</p>
</th></tr></thead><tbody><tr><td colspan=""1"" rowspan=""1"">
<p>Where would you like to write this file?</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Select whether you want to send your Domo DataSet data to a Smartsheet workspace or folder. </p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Folder</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Select the Smartsheet folder where you want to copy your data.</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Folder ID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Enter the Folder Id in which you want to store the data. To fetch the Folder Id for any folder, refer to the </p>
<p><strong><em>Retrieving a Folder ID from SmartSheet UI </em></strong>section.</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Workspace</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Select the Smartsheet workspace where you want to copy your data.</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Overwrite settings</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Select, if you want to create Smartsheet for each run or overwrite the existing Smartsheet for each run. </p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Domo DataSet ID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Enter the DataSet ID (GUID) for the DataSet you want to copy to a Smartsheet folder or workspace. You can find the ID by opening the details view for the DataSet in the Data Center and looking at the portion of the URL following <span class=""mt-font-courier-new"">datasources/</span>. For example, in the URL <span class=""mt-font-courier-new""><span class=""nowiki"">https://mycompany.domo.com/datasources/845305d8-da3d-4107-a9d6-13ef3f86d4a4/details/overview</span></span>, the DataSet ID is <span class=""mt-font-courier-new"">845305d8-da3d-4107-a9d6-13ef3f86d4a4. </span></p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Select Filename</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Select how you want to choose the file where data will be copied. </p>
<ul><li>
<p><strong><strong>Use Input DataSet GUID</strong></strong>. The filename will be the number you entered for <strong><strong>Domo DataSet ID</strong></strong>.</p>
</li><li>
<p><strong><strong>Use Input DataSet Name</strong></strong>. The filename will be the same as that of the input DataSet.</p>
</li><li>
<p><strong><strong>Enter File Name</strong></strong>. You will give the file a custom name in the <strong><strong>File Name</strong></strong> field.</p>
</li></ul>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Primary Column</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Enter the column name exactly as it appears in the Domo DataSet. The primary key must be a single column, and the DataType is not editable.</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Filename</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Enter the desired output filename. </p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Choose the Escape character</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Select the escape character for the input dataset.</p>
</td></tr></tbody></table>
<h3>Retrieving a Folder ID from SmartSheet UI</h3>
<p>Follow the steps below to retrieve a Folder ID from SmartSheet UI:</p>
<div>
<ol><li>
<div>Navigate to the folder for which you want to obtain the folder ID.</div>
</li><li>Right‑click the folder and select <strong>Properties</strong> from the menu.<br> <img src=""https://domo.file.force.com/servlet/rtaImage?eid=ka0Vu000000ZOib&amp;feoid=00N5w00000Ri7BU&amp;refid=0EMVu00000UmLth"" width=""355"" height=""382""></img></li><li>In the window that opens, copy and save the Folder ID.<br><img src=""https://domo.file.force.com/servlet/rtaImage?eid=ka0Vu000000ZOib&amp;feoid=00N5w00000Ri7BU&amp;refid=0EMVu00000UmP65"" width=""492"" height=""257""></img></li></ol>
</div>
<h3>Other Panes</h3>
<p>For information about the remaining sections of the connector interface, including how to configure scheduling, retry, and update options, see <a title=""Adding a DataSet Using a Data Connector"" href=""/s/article/360042926274"" target=""_self"">Adding a DataSet Using a Data Connector</a>.</p>","0055000000472ZwAAI","2026-02-13T13:43:08.000Z","2022-10-24T22:39:48.000Z","ka0Vu000000ZOibIAG","false","true","false","kA05w0000011nKDCAY","en_US","005Vq0000001InhIAE","2026-02-13T13:54:44.000Z","2026-02-13T13:54:44.000Z","ka0Vu000000ZOibIAG","","0055000000472ZwAAI","Online","","","2026-02-13T13:54:44.000Z","Smartsheet Writeback Connector","","","","360042932514","5"
"","en_US","000004019","20528","<h2>はじめに</h2>
<p>Smartsheetは、オンラインプロジェクトマネジメントと生産性、そしてコラボレーションのためのSaaSアプリケーションです。このコネクターを使用すると、指定したSmartsheetワークスペースまたはフォルダにDomo DataSetからデータをエクスポートできます。Smartsheet APIの詳細については、Smartsheetのウェブサイト (<a title=""https://smartsheet-platform.github.io/api-docs/"" href=""https://smartsheet-platform.github.io/api-docs/"" target=""_blank"">https://smartsheet-platform.github.io/api-docs/</a> ) を参照してください。</p>
<p>SmartsheetへのデータのエクスポートはData Centerで行います。このトピックでは、Smartsheet Writebackコネクターユーザーインターフェースに固有のフィールドとメニューについて説明します。DataSetの追加や更新スケジュールの設定、DataSet情報の編集に関する一般的な情報は「データコネクターを使ってDataSetを追加する」で説明しています。</p>
<h2>必要条件</h2>
<p>このコネクターを設定するには、DomoクライアントIDとクライアントシークレットが必要です。DomoクライアントIDとクライアントシークレットを作成するには、次の手順を実行します。</p>
<ol><li>
<p><a title=""https://developer.domo.com"" href=""https://developer.domo.com"" target=""_blank"">https://developer.domo.com</a>に移動してログインします。</p>
</li><li>
<p><strong>［新規クライアント］</strong>をクリックします（右上の［マイアカウント］）。</p>
</li><li>
<p><strong>［データ］</strong>と<strong>［ユーザー］</strong>のアプリケーションの範囲を持つ新しいクライアントを作成します。<br><br><strong>［作成］</strong>をクリックすると、クライアントIDとクライアントシークレットにリダイレクトされます。</p>
</li><li>
<p>すぐに必要になるため、クライアントIDとクライアントシークレットをコピーします。</p>
</li></ol>
<h2>接続を設定する</h2>
<p><span class=""s1"">このセクションでは、［Smartsheet Writebackコネクター］ページの<strong>［認証情報］</strong>および<strong>［詳細］</strong>ペインのオプションについて説明します。このページの他のペインの項目である<strong>［スケジュール設定］</strong>や<strong>［DataSetの名前と説明］</strong>に関しては、ほとんどのタイプのコネクターで共通しています。詳細については「データコネクターを使ってDataSetを追加する」を参照してください。</span></p>
<h3><span class=""s1"">認証情報ペイン</span></h3>
<p class=""p1""><span class=""s1"">このペインには、Domoアカウントに接続するための認証情報の入力フィールドがあります。下表では、各フィールドに必要な内容を説明しています。</span></p>
<table style=""width: 100%;table-layout: fixed;"" border=""1"" cellspacing=""1"" cellpadding=""1""><thead><tr><th colspan=""1"" rowspan=""1"">
<p><span class=""s1"">フィールド</span></p>
</th><th colspan=""1"" rowspan=""1"">
<p><span class=""s1"">説明</span></p>
</th></tr></thead><tbody><tr><td colspan=""1"" rowspan=""1"">
<p>DomoクライアントID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>DomoクライアントIDを入力します。クライアントIDとクライアントシークレットを取得する手順については、上述の「必要条件」を参照してください。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Domoクライアントシークレット</p>
</td><td colspan=""1"" rowspan=""1"">
<p>DomoクライアントIDを入力します。クライアントIDとクライアントシークレットを取得する手順については、上述の「必要条件」を参照してください。</p>
</td></tr></tbody></table>
<p><span class=""s1"">有効な認証情報を一度入力しておくと、随時同じアカウントを使用して新しいDomo-Smartsheet接続を設定できます。コネクターアカウントは、Data Centerの<strong>［アカウント］</strong>タブで管理できます。このタブの詳細については、「コネクターのユーザーアカウントを管理する」を参照してください。</span></p>
<h3>［詳細］ ペイン</h3>
<p>このペインには、データを指定してデータの送信先を示すための多数のフィールドがあります。</p>
<table style=""width: 100%;table-layout: fixed;"" border=""1"" cellspacing=""1"" cellpadding=""1""><thead><tr><th colspan=""1"" rowspan=""1"">
<p>メニュー</p>
</th><th colspan=""1"" rowspan=""1"">
<p>説明</p>
</th></tr></thead><tbody><tr><td colspan=""1"" rowspan=""1"">
<p>このファイルの書き込み先</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Domo DataSetデータをSmartsheetワークスペースまたはフォルダのどちらに送信するかを選択します。 </p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>フォルダ</p>
</td><td colspan=""1"" rowspan=""1"">
<p>データのコピー先となるSmartsheetフォルダを選択します。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>ワークスペース</p>
</td><td colspan=""1"" rowspan=""1"">
<p>データのコピー先となるSmartsheetワークスペースを選択します。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>重複不可</p>
</td><td colspan=""1"" rowspan=""1"">
<p>このボックスをオンにした場合、コネクターがコピー中のファイルと同じ名前のファイルを検出すると、そのファイルは上書きされます。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Domo DataSet ID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>SmartsheetフォルダまたはワークスペースにコピーするDataSetのDataSet ID（GUID）を入力します。Data CenterでDataSetの詳細ビューを開き、URLの<span class=""mt-font-courier-new"">datasources/</span>に続く部分を見ると、IDを見つけることができます。例えば、URLが<span class=""mt-font-courier-new""><span class=""nowiki"">https://mycompany.domo.com/datasources/845305d8-da3d-4107-a9d6-13ef3f86d4a4/details/overview</span></span>であれば、DataSet IDは<span class=""mt-font-courier-new"">845305d8-da3d-4107-a9d6-13ef3f86d4a4</span>になります。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>ファイル名を選択</p>
</td><td colspan=""1"" rowspan=""1"">
<p>データのコピー元となるファイルの指定方法を選択します。 </p>
<ul><li>
<p><strong><strong>［入力DataSet GUIDを使用］</strong></strong>。ファイル名は、<strong><strong>［Domo DataSet ID］</strong></strong>に入力した番号になります。</p>
</li><li>
<p><strong><strong>［入力DataSet名を使用］</strong></strong>。ファイル名は、入力DataSetの名前と同じになります。</p>
</li><li>
<p><strong><strong>［ファイル名を入力］</strong></strong>。<strong><strong>［ファイル名］</strong></strong>フィールドにファイルのカスタム名を入力します。</p>
</li></ul>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>ファイル名</p>
</td><td colspan=""1"" rowspan=""1"">
<p>任意の出力ファイル名を入力します。 </p>
</td></tr></tbody></table>
<h3>その他のペイン</h3>
<p>スケジュール設定、再試行、オプションの更新など、このページにないセクションに記載のコネクターインターフェースについては、「  <a href=""/s/article/360042926274"" target=""_self"">データコネクターを使用してDataSetを追加する</a>」を参照してください。</p>
<hr class=""mt-export-separator""></hr>
<div id=""mt-export-summary"">このコネクターを使用すると、SmartsheetフォルダまたはワークスペースにDomo DataSetからデータをエクスポートできます。</div>","005f2000008wUEtAAM","2025-10-28T03:04:20.000Z","2022-10-24T22:39:48.000Z","ka0Vq000000OFigIAG","false","true","true","kA05w0000011nKDCAY","ja","005Vq0000001InhIAE","2026-02-13T13:54:43.000Z","2026-02-13T13:54:44.000Z","ka0Vu000000ZOibIAG","","005f2000008wUEtAAM","Draft","","","2026-02-13T13:54:43.000Z","Smartsheet Writebackコネクター","","","","360042932514","0"
"","en_US","000004019","20528","<h2>はじめに</h2>
<p>Smartsheetは、オンラインプロジェクトマネジメントと生産性、そしてコラボレーションのためのSaaSアプリケーションです。このコネクターを使用すると、指定したSmartsheetワークスペースまたはフォルダにDomo DataSetからデータをエクスポートできます。Smartsheet APIの詳細については、Smartsheetのウェブサイト (<a title=""https://smartsheet-platform.github.io/api-docs/"" href=""https://smartsheet-platform.github.io/api-docs/"" target=""_blank"">https://smartsheet-platform.github.io/api-docs/</a> ) を参照してください。</p>
<p>SmartsheetへのデータのエクスポートはData Centerで行います。このトピックでは、Smartsheet Writebackコネクターユーザーインターフェースに固有のフィールドとメニューについて説明します。DataSetの追加や更新スケジュールの設定、DataSet情報の編集に関する一般的な情報は「データコネクターを使ってDataSetを追加する」で説明しています。</p>
<h2>必要条件</h2>
<p>このコネクターを設定するには、DomoクライアントIDとクライアントシークレットが必要です。DomoクライアントIDとクライアントシークレットを作成するには、次の手順を実行します。</p>
<ol><li>
<p><a title=""https://developer.domo.com"" href=""https://developer.domo.com"" target=""_blank"">https://developer.domo.com</a>に移動してログインします。</p>
</li><li>
<p><strong>［新規クライアント］</strong>をクリックします（右上の［マイアカウント］）。</p>
</li><li>
<p><strong>［データ］</strong>と<strong>［ユーザー］</strong>のアプリケーションの範囲を持つ新しいクライアントを作成します。<br><br><strong>［作成］</strong>をクリックすると、クライアントIDとクライアントシークレットにリダイレクトされます。</p>
</li><li>
<p>すぐに必要になるため、クライアントIDとクライアントシークレットをコピーします。</p>
</li></ol>
<h2>接続を設定する</h2>
<p><span class=""s1"">このセクションでは、［Smartsheet Writebackコネクター］ページの<strong>［認証情報］</strong>および<strong>［詳細］</strong>ペインのオプションについて説明します。このページの他のペインの項目である<strong>［スケジュール設定］</strong>や<strong>［DataSetの名前と説明］</strong>に関しては、ほとんどのタイプのコネクターで共通しています。詳細については「データコネクターを使ってDataSetを追加する」を参照してください。</span></p>
<h3><span class=""s1"">認証情報ペイン</span></h3>
<p class=""p1""><span class=""s1"">このペインには、Domoアカウントに接続するための認証情報の入力フィールドがあります。下表では、各フィールドに必要な内容を説明しています。</span></p>
<table style=""width: 100%;table-layout: fixed;"" border=""1"" cellspacing=""1"" cellpadding=""1""><thead><tr><th colspan=""1"" rowspan=""1"">
<p><span class=""s1"">フィールド</span></p>
</th><th colspan=""1"" rowspan=""1"">
<p><span class=""s1"">説明</span></p>
</th></tr></thead><tbody><tr><td colspan=""1"" rowspan=""1"">
<p>DomoクライアントID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>DomoクライアントIDを入力します。クライアントIDとクライアントシークレットを取得する手順については、上述の「必要条件」を参照してください。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Domoクライアントシークレット</p>
</td><td colspan=""1"" rowspan=""1"">
<p>DomoクライアントIDを入力します。クライアントIDとクライアントシークレットを取得する手順については、上述の「必要条件」を参照してください。</p>
</td></tr></tbody></table>
<p><span class=""s1"">有効な認証情報を一度入力しておくと、随時同じアカウントを使用して新しいDomo-Smartsheet接続を設定できます。コネクターアカウントは、Data Centerの<strong>［アカウント］</strong>タブで管理できます。このタブの詳細については、「コネクターのユーザーアカウントを管理する」を参照してください。</span></p>
<h3>［詳細］ ペイン</h3>
<p>このペインには、データを指定してデータの送信先を示すための多数のフィールドがあります。</p>
<table style=""width: 100%;table-layout: fixed;"" border=""1"" cellspacing=""1"" cellpadding=""1""><thead><tr><th colspan=""1"" rowspan=""1"">
<p>メニュー</p>
</th><th colspan=""1"" rowspan=""1"">
<p>説明</p>
</th></tr></thead><tbody><tr><td colspan=""1"" rowspan=""1"">
<p>このファイルの書き込み先</p>
</td><td colspan=""1"" rowspan=""1"">
<p>Domo DataSetデータをSmartsheetワークスペースまたはフォルダのどちらに送信するかを選択します。 </p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>フォルダ</p>
</td><td colspan=""1"" rowspan=""1"">
<p>データのコピー先となるSmartsheetフォルダを選択します。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>ワークスペース</p>
</td><td colspan=""1"" rowspan=""1"">
<p>データのコピー先となるSmartsheetワークスペースを選択します。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>重複不可</p>
</td><td colspan=""1"" rowspan=""1"">
<p>このボックスをオンにした場合、コネクターがコピー中のファイルと同じ名前のファイルを検出すると、そのファイルは上書きされます。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>Domo DataSet ID</p>
</td><td colspan=""1"" rowspan=""1"">
<p>SmartsheetフォルダまたはワークスペースにコピーするDataSetのDataSet ID（GUID）を入力します。Data CenterでDataSetの詳細ビューを開き、URLの<span class=""mt-font-courier-new"">datasources/</span>に続く部分を見ると、IDを見つけることができます。例えば、URLが<span class=""mt-font-courier-new""><span class=""nowiki"">https://mycompany.domo.com/datasources/845305d8-da3d-4107-a9d6-13ef3f86d4a4/details/overview</span></span>であれば、DataSet IDは<span class=""mt-font-courier-new"">845305d8-da3d-4107-a9d6-13ef3f86d4a4</span>になります。</p>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>ファイル名を選択</p>
</td><td colspan=""1"" rowspan=""1"">
<p>データのコピー元となるファイルの指定方法を選択します。 </p>
<ul><li>
<p><strong><strong>［入力DataSet GUIDを使用］</strong></strong>。ファイル名は、<strong><strong>［Domo DataSet ID］</strong></strong>に入力した番号になります。</p>
</li><li>
<p><strong><strong>［入力DataSet名を使用］</strong></strong>。ファイル名は、入力DataSetの名前と同じになります。</p>
</li><li>
<p><strong><strong>［ファイル名を入力］</strong></strong>。<strong><strong>［ファイル名］</strong></strong>フィールドにファイルのカスタム名を入力します。</p>
</li></ul>
</td></tr><tr><td colspan=""1"" rowspan=""1"">
<p>ファイル名</p>
</td><td colspan=""1"" rowspan=""1"">
<p>任意の出力ファイル名を入力します。 </p>
</td></tr></tbody></table>
<h3>その他のペイン</h3>
<p>スケジュール設定、再試行、オプションの更新など、このページにないセクションに記載のコネクターインターフェースについては、「  <a href=""/s/article/360042926274"" target=""_self"">データコネクターを使用してDataSetを追加する</a>」を参照してください。</p>
<hr class=""mt-export-separator""></hr>
<div id=""mt-export-summary"">このコネクターを使用すると、SmartsheetフォルダまたはワークスペースにDomo DataSetからデータをエクスポートできます。</div>","0055w00000FSpPhAAL","2026-02-13T13:54:43.000Z","2022-10-24T22:39:48.000Z","ka0Vu000000ZOnRIAW","false","true","true","kA05w0000011nKDCAY","ja","005Vq0000001InhIAE","2026-02-13T13:54:43.000Z","2026-02-13T13:54:44.000Z","ka0Vu000000ZOibIAG","","0055w00000FSpPhAAL","Online","","","2026-02-13T13:54:44.000Z","Smartsheet Writebackコネクター","2022-12-13T19:28:35.000Z","","2022-12-13T19:28:34.000Z","360042932514","5"
