english_term,translation,keep_in_english,context,notes,source,last_updated
2FA,,yes,,,style-guide,2026-08-17
Adrenaline,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Agent Catalyst,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI Dictionary,,yes,,"AI to remain in EN, okay to translate ""dictionary""",branded-terms,2026-08-17
AI Playground,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AI Service Layer,,yes,,Keep in EN,branded-terms,2026-08-17
Alert Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Alerts Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Analyzer,,yes,,,style-guide,2026-08-17
API,,yes,,,style-guide,2026-08-17
AppDB,,yes,,,style-guide,2026-08-17
Appstore,,yes,,,style-guide,2026-08-17
Asset Library,,yes,,Branded term — keep in English,branded-terms,2026-08-17
AWS,,yes,,,style-guide,2026-08-17
Azure,,yes,,,style-guide,2026-08-17
Beast Mode,,yes,,,style-guide,2026-08-17
BigQuery,,yes,,,style-guide,2026-08-17
Brand Kit,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Buzz,,yes,,,style-guide,2026-08-17
Card Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
CLI,,yes,,,style-guide,2026-08-17
Cloud Amplifier,,yes,,,style-guide,2026-08-17
CSV,,yes,,,style-guide,2026-08-17
Data Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Fusion,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Product Exchange (DPX),,yes,,Branded term — keep in English,branded-terms,2026-08-17
Data Warehouse,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Databricks,,yes,,,style-guide,2026-08-17
DataFlow,,yes,,,style-guide,2026-08-17
DataFlows,,yes,,,style-guide,2026-08-17
DataFusion,,yes,,,style-guide,2026-08-17
DataSet,,yes,,Singular/plural identical in EN,style-guide,2026-08-17
DataSets,,yes,,,style-guide,2026-08-17
DDX Bricks,,yes,,,style-guide,2026-08-17
Doc Card,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Dojo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Domo,,yes,,,style-guide,2026-08-17
Domo AI,,yes,,,style-guide,2026-08-17
Domo Bricks,,yes,,,style-guide,2026-08-17
Domo Documents,,yes,,,style-guide,2026-08-17
Domo Schema,,yes,,,style-guide,2026-08-17
Domo University,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Domo Workflows,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoApp,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoGraphics,,yes,,Branded term — keep in English,branded-terms,2026-08-17
DomoStats,,yes,,,style-guide,2026-08-17
Embed,,yes,,,style-guide,2026-08-17
ETL,,yes,,,style-guide,2026-08-17
FileSet,,yes,,Branded term — keep in English,branded-terms,2026-08-17
FileSets,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Flex Table,,yes,,,style-guide,2026-08-17
GitHub,,yes,,,style-guide,2026-08-17
Google,,yes,,,style-guide,2026-08-17
HTTP,,yes,,,style-guide,2026-08-17
HTTPS,,yes,,,style-guide,2026-08-17
JSON,,yes,,,style-guide,2026-08-17
Jupyter Notebook,,yes,,,style-guide,2026-08-17
Jupyter Workspace,,yes,,,style-guide,2026-08-17
Jupyter Workspaces,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Launcher,,yes,,Branded term — keep in English,branded-terms,2026-08-17
M2M,,yes,,Machine to Machine,style-guide,2026-08-17
Magic,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Major Domo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
MDX,,yes,,,style-guide,2026-08-17
MFA,,yes,,,style-guide,2026-08-17
Microsoft,,yes,,,style-guide,2026-08-17
MySQL,,yes,,,style-guide,2026-08-17
OAuth,,yes,,,style-guide,2026-08-17
PDP,,yes,,Personalized Data Permissions,style-guide,2026-08-17
Personalized Data Permissions (PDP),,yes,,Branded term — keep in English,branded-terms,2026-08-17
Playbooks,,yes,,Branded term — keep in English,branded-terms,2026-08-17
PostgreSQL,,yes,,,style-guide,2026-08-17
QuickStart,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Report Builder,,yes,,Branded term — keep in English,branded-terms,2026-08-17
REST,,yes,,,style-guide,2026-08-17
Salesforce,,yes,,,style-guide,2026-08-17
SAML,,yes,,,style-guide,2026-08-17
SDK,,yes,,,style-guide,2026-08-17
Slack,,yes,,,style-guide,2026-08-17
Snowflake,,yes,,,style-guide,2026-08-17
SQL,,yes,,,style-guide,2026-08-17
SSO,,yes,,,style-guide,2026-08-17
Sumo,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Task Center,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Vault,,yes,,Branded term — keep in English,branded-terms,2026-08-17
Workbench,,yes,,,style-guide,2026-08-17
XML,,yes,,,style-guide,2026-08-17
YAML,,yes,,,style-guide,2026-08-17
Account,Cuenta,no,,,style-guide,2026-08-17
Achievement,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Admin,Administrador,no,,,style-guide,2026-08-17
AI Chat,,no,,"AI to remain in EN, okay to translate ""chat"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
AI Context,,no,,"AI to remain in EN, okay to translate ""context"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
AI Readiness,,no,,"AI to remain in EN, okay to translate ""readiness"" OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective",branded-terms,2026-08-17
Alert,Alerta,no,,,style-guide,2026-08-17
Alerts,Alertas,no,,,style-guide,2026-08-17
App,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Battlecard,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Card,Tarjeta,no,,,style-guide,2026-08-17
Chart,Gráfico,no,,,style-guide,2026-08-17
Cloud Integration,Integración en la nube,no,,Always translated,style-guide,2026-08-17
Code Engine,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Collection,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Community,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Connector,Conector,no,,,style-guide,2026-08-17
Connectors,Conectores,no,,,style-guide,2026-08-17
Daily Domo,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Dashboard,Tablero,no,,Translated in most contexts; 'dashboard' acceptable as a modifier,style-guide,2026-08-17
Data Source,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Database table,tabla de base de datos,no,database,Lowercase,style-guide,2026-08-17
Dataset tile,Icono de DataSet,no,Magic ETL,tile = icono in ETL context; DataSet stays EN,style-guide,2026-08-17
Domo Marketplace,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Domo Online Form,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Drill,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Editor,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Enhancement,Mejora,no,,,style-guide,2026-08-17
Feature,Función,no,,'Función' preferred in release notes; 'Característica' accepted,style-guide,2026-08-17
Feedback,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Filter,Filtro,no,,,style-guide,2026-08-17
Free,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Freemium,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Global Filters,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Grant,Concesión,no,,Context-dependent: 'Concesión' or 'Permiso',style-guide,2026-08-17
Group,Grupo,no,,,style-guide,2026-08-17
Help Center,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Important,Importante,no,callout-label,<Important> callout label,style-guide,2026-08-17
Inline Editing,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Instance,Instancia,no,,,style-guide,2026-08-17
Magic ETL,"Magic - Extracción, transformación y carga",no,,Spanish uniquely expands Magic ETL on first mention; 'Magic ETL' acceptable on later mentions in the same section,style-guide,2026-08-17
Metrics,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Metrics SQL,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
New Features and Enhancements,Nuevas funciones y mejoras,no,section-header,,style-guide,2026-08-17
Note,Nota,no,callout-label,<Note> callout label,style-guide,2026-08-17
Page,Página,no,,,style-guide,2026-08-17
Participant,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Permission,Permiso,no,,,style-guide,2026-08-17
