Section,Feature,KB Submission (release-ga/sept-23-2026),Coverage Source,Submission Type,KB Content Needed,Article Filepath,PM,Notes
New Features & Enhancements,AI Chat Updates,Yes,GA branch,Update,N/A,s/article/AI-Chat-v2.mdx,Ken Boyer,"AI Chat article updated for multi-DataSet, Documents, visualizations, and KB access"
New Features & Enhancements,App Studio - Card Location Visibility,No,None,None,Update to s/article/360042923934.mdx,s/article/360042923934.mdx,Chris Wright,"Add App Studio page list + right-panel info icon to Card Details View Layout; App Studio feature in a Charting-owned article, confirm PM"
New Features & Enhancements,App Studio - Move and Copy Cards,No,None,None,Update to s/article/360042923254.mdx,s/article/360042923254.mdx,Chris Wright,Extend Moving or Copying Cards article to App Studio pages (three-dot menu); confirm PM
New Features & Enhancements,Archived DataSets Visual Indicator,No,None,None,Update to s/article/360047553253.mdx,s/article/360047553253.mdx,Phil Fuchs,Add archived-state notice + unarchiving to Data Center Layout (Overview tab)
New Features & Enhancements,Azure SQL Active Directory Service Principal Authentication,No,None,None,Update to s/article/000005471.mdx,s/article/000005471.mdx,Jordan Jensen,Add Active Directory Service Principal auth method to Domo on Azure SQL
New Features & Enhancements,Card Embed Enhancements,Yes,GA branch,Net-new + Update,N/A,s/article/360043437993.mdx; s/article/Migrate-Embedded-Cards-to-the-New-URL.mdx,Mamta Bolaki,Embed article updated + new migration guide
New Features & Enhancements,Code Engine Package Usage Visibility and Deletion,No,None,None,Update to s/article/000005173.mdx,s/article/000005173.mdx,Ryan Despain,Add usage visibility + safe deletion to Code Engine article
New Features & Enhancements,Data Modeling Builder and Visualization Integration,No,Pre-GA (published),Net-new,N/A,s/article/Create-and-Use-Data-Models.mdx,Ken Boyer,"Documented pre-GA in Create and Use Data Models (Beta, published); minor gap: DataSet Views / card+page filters / Dashboards not called out"
New Features & Enhancements,Databricks Writeback to Azure-Hosted Domo Instances,No,None,None,Update to s/article/000005289.mdx,s/article/000005289.mdx,Jordan Jensen,Add Azure-hosted support to Domo on Databricks writeback
New Features & Enhancements,Legacy Authentication Update,No,None,None,None,,(no PM listed),Behind-the-scenes DA-SID retirement; Domo contacts affected customers; no user-facing KB needed (Application Security area)
New Features & Enhancements,Magic ETL - Classification Tile,Yes,GA branch,Update,N/A,s/article/000005741.mdx,Andrea Henderson,Beta badge removed -> GA (Classification tile)
New Features & Enhancements,Magic ETL - Convert to SQL,No,None,None,Net-new + Update to s/article/360055259234.mdx,s/article/360055259234.mdx,Andrea Henderson,Net-new Convert to SQL article + cross-link from Create a Magic ETL DataFlow
New Features & Enhancements,Magic ETL - Customizable Window Layout,No,None,None,Update to s/article/360055259234.mdx,s/article/360055259234.mdx,Andrea Henderson,Add window layout/pinning to Create a Magic ETL DataFlow (canvas)
New Features & Enhancements,Magic ETL - Dark Mode,No,None,None,Update to s/article/360055259234.mdx,s/article/360055259234.mdx,Andrea Henderson,Add appearance (light/dark/inherit) to canvas article; overlaps user-preferences article
New Features & Enhancements,Magic ETL - Execution Details Heatmap,No,None,None,Update to s/article/360042923054.mdx,s/article/360042923054.mdx,Andrea Henderson,Add heatmap + telemetry metrics to Viewing DataFlow Details
New Features & Enhancements,Magic ETL - Load Prior DataFlow Versions,No,None,None,Update to s/article/360042923074.mdx,s/article/360042923074.mdx,Andrea Henderson,Add view/save prior versions to Version History article
New Features & Enhancements,Magic ETL - Multi-Statement SQL Tile,No,None,None,Update to s/article/360044876874.mdx,s/article/360044876874.mdx,Andrea Henderson,Add multi-statement SQL tile to Magic ETL Tiles: Utility
New Features & Enhancements,Magic ETL - New Canvas Navigation Controls,No,None,None,Update to s/article/360055259234.mdx,s/article/360055259234.mdx,Andrea Henderson,Add click-drag navigation to canvas article (set in User Preferences)
New Features & Enhancements,Magic ETL - Persistent User-Level Settings,No,None,None,Net-new,,Andrea Henderson,Net-new Magic ETL User Preferences article; no persistent-prefs article exists
New Features & Enhancements,Magic ETL - Row Counts in Previews,No,None,None,Update to s/article/360055259234.mdx,s/article/360055259234.mdx,Andrea Henderson,Add per-action preview row counts to canvas article
New Features & Enhancements,Magic ETL - Select Columns Tile Enhancements,No,None,None,Update to s/article/360044876874.mdx,s/article/360044876874.mdx,Andrea Henderson,"Update Select Columns tile section for redesign (group reorder, bulk rename)"
New Features & Enhancements,Magic ETL - Sentiment Analysis Tile,Yes,GA branch,Update,N/A,s/article/000005741.mdx,Andrea Henderson,Beta badge removed -> GA (Sentiment Analysis tile)
New Features & Enhancements,Mason App Editor Deprecation,No,None,None,Update to s/article/000005500.mdx,s/article/000005500.mdx,Khushboo,Add Mason authoring deprecation (Oct 14 2026) + transition to Pro-code Editor article; no Mason article exists
New Features & Enhancements,New Chart Improvements in App Studio and Analyzer,No,None,None,Net-new + Update to s/topic/0TOVq0000009nXmOAI.mdx,s/article/360042935294.mdx; s/topic/0TOVq0000009nXmOAI.mdx,Chris Wright,"Net-new articles for Multi Progress Bar, Symbol Matrix, Ribbon Chart + update chart-types index & Best Practices; rounded bars folds into bar-chart docs"
New Features & Enhancements,New Left Navigation Onboarding,No,Pre-GA (published),Net-new,N/A,s/article/Migrate-Users-to-the-New-Left-Navigation.mdx,Jordan Jensen,Documented pre-GA in Migrate Users to the New Left Navigation (admin banner + enablement scopes); minor gap: end-user first-sign-in welcome not documented
New Features & Enhancements,OAuth-Only Read-Only Integrations,No,None,None,Update to s/article/000005289.mdx; s/article/4402322966807.mdx; s/article/000005237.mdx,s/article/000005289.mdx; s/article/4402322966807.mdx; s/article/000005237.mdx,Jordan Jensen,Add OAuth-only read-only option to per-engine Cloud Integration articles (Databricks/Snowflake/BigQuery)
New Features & Enhancements,"Pvariable Support for Dashboards, App Studio, and Embed",No,None,None,Update to s/article/7903767835031.mdx,s/article/7903767835031.mdx,Phil Fuchs,Add pvariable (page URL parameter) mechanism to Variables | Overview
New Features & Enhancements,Regional Date and Number Formatting,No,None,None,Update to s/article/360043439133.mdx,s/article/360043439133.mdx,Beth Saenz,Expand Configure Language Settings for CLDR cross-browser/OS consistency; PM (Localization) confirm
New Features & Enhancements,Semantic View Integration,No,None,None,Net-new + Update to s/article/Create-and-Use-Data-Models.mdx,s/article/Create-and-Use-Data-Models.mdx,Jordan Jensen,Net-new Snowflake semantic view registration article + cross-link from Create and Use Data Models (AI Services-owned)
New Features & Enhancements,Workflows - DataSet Query Task No-Row Support,No,None,None,Update to s/article/000005797.mdx,s/article/000005797.mdx,Ryan Despain,Add no-row query support to Workflows | Reference (Query Table action)
New Features & Enhancements,Workflows - MCP Trigger,Yes,GA branch,Update,N/A,s/article/000005179.mdx,Ryan Despain,MCP trigger section added to Manage Workflows
New Features & Enhancements,Workflows - Versioning Code Engine Functions,No,None,None,Update to s/article/000005797.mdx,s/article/000005797.mdx,Ryan Despain,Add Change Version option to Workflows | Reference (Code Engine functions)
Fast Follows - November 1,AI Chat Consumption Model,No,None,None,Update to s/article/AI-Chat-v2.mdx,s/article/AI-Chat-v2.mdx,Ken Boyer,Add AI Pro consumption/credit usage to AI Chat article; on-branch edit did not cover consumption
Beta Features,Activity Log Webhook,Yes,GA branch,Update,N/A,s/article/360042934574.mdx,Dan Brinton,Webhook configuration section added to Activity Log article
Beta Features,Alerts and Workspaces MCP Toolkit,No,None,None,Update to s/article/Connect-AI-Tools-to-Domo-Using-MCP.mdx,s/article/Connect-AI-Tools-to-Domo-Using-MCP.mdx,Ken Boyer,Add Alerts & Workspaces toolkit to MCP article; not currently documented
Beta Features,App Broadcasting,No,External (developer.domo.com),External,N/A,,Khushboo,Intentionally documented in developer docs; PM inferred (App Dev)
Beta Features,Automation MCP Toolkits,No,None,None,Update to s/article/Connect-AI-Tools-to-Domo-Using-MCP.mdx,s/article/Connect-AI-Tools-to-Domo-Using-MCP.mdx,Ryan Despain,Add Workflows/Code Engine/Queues/Forms toolkits to MCP article (AI Services-owned)
